value;normdata_id;normdata_category;provider;docCount
"Rheinland-Pfalz";"";"";"Haus des Dokumentarfilms";"18"
"Rheinsberg";"";"";"Haus des Dokumentarfilms";"1"
"Rhodesien";"";"";"Haus des Dokumentarfilms";"2"
"Rhodos";"";"";"Haus des Dokumentarfilms";"2"
"Rhone-Sete-Kanal";"";"";"Haus des Dokumentarfilms";"1"
"Rhonegletscher";"";"";"Haus des Dokumentarfilms";"1"
"Rhynchophorus ferrugineus";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Rhythmus";"";"";"Haus des Dokumentarfilms";"1"
"Rhône-Alpes";"";"";"Haus des Dokumentarfilms";"2"
"Rhön";"";"";"Haus des Dokumentarfilms";"4"
"Rhönrad";"";"";"Haus des Dokumentarfilms";"1"
"Riccione";"";"";"Haus des Dokumentarfilms";"3"
"Richtfest";"";"";"Haus des Dokumentarfilms";"7"
"Ried";"";"";"Haus des Dokumentarfilms";"1"
"Riedböhringen";"";"";"Haus des Dokumentarfilms";"1"
"Riedel, Peter";"";"";"Haus des Dokumentarfilms";"2"
"Riedlingen";"";"";"Haus des Dokumentarfilms";"5"
"Riesengebirge";"";"";"Haus des Dokumentarfilms";"1"
"Riesenrad";"4579967-2";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Rietzlern";"";"";"Haus des Dokumentarfilms";"1"
"Riezlern";"";"";"Haus des Dokumentarfilms";"6"
"Riffelriss";"";"";"Haus des Dokumentarfilms";"1"
"Riga";"";"";"Haus des Dokumentarfilms";"1"
"Rijeka";"";"";"Haus des Dokumentarfilms";"1"
"Rimbaud, Arthur";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Rimini";"";"";"Haus des Dokumentarfilms";"1"
"Rind";"4050061-5";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"7"
"Rindt, Jochen";"";"";"Haus des Dokumentarfilms";"3"
"Rinnen";"";"";"Haus des Dokumentarfilms";"1"
"Rio de Janeiro";"";"";"Haus des Dokumentarfilms";"9"
"Rites de passage";"";"";"Technische Informationsbibliothek (TIB)";"5"
"Ritual";"4050164-4";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"19"
"Ritualtanz";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Ritus";"";"";"Haus des Dokumentarfilms, Technische Informationsbibliothek (TIB)";"5"
"Ritus / Initiation";"";"";"Technische Informationsbibliothek (TIB)";"5"
"Ritus / Reinigungsritual";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Ritus / Rites de passage";"";"";"Technische Informationsbibliothek (TIB)";"5"
"Ritus / Tieropfer";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Ritus / Totengedenkfest";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Riviera di Levante";"";"";"Haus des Dokumentarfilms";"1"
"Road Movie";"";"";"Haus des Dokumentarfilms";"1"
"Roadmovie";"";"";"Haus des Dokumentarfilms";"1"
"Robbe";"";"";"Haus des Dokumentarfilms";"1"
"Robert Bosch GmbH";"";"";"Haus des Dokumentarfilms";"4"
