value;normdata_id;normdata_category;provider;docCount
"(RAD)";"";"";"Haus des Dokumentarfilms";"1"
"1. Schultag";"";"";"Haus des Dokumentarfilms";"1"
"1. Weltkrieg";"";"";"Haus des Dokumentarfilms";"10"
"16. Jahrhundert";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"17. Jahrhundert";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"18. Jahrhundert";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"19. Jahrhundert";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"9"
"1900er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"1910er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"6"
"1915 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"1920er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"1928";"";"";"Haus des Dokumentarfilms";"1"
"193";"";"";"Haus des Dokumentarfilms";"1"
"1930";"";"";"Haus des Dokumentarfilms";"1"
"1930er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"1933";"";"";"Haus des Dokumentarfilms";"1"
"1933 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"1940er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"10"
"1941 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"1945 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"1950er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"1950er Jahre";"";"";"Haus des Dokumentarfilms";"1"
"1957";"";"";"Haus des Dokumentarfilms";"1"
"1960er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"1968er";"4394007-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"1970er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"1980er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"2. Weltkrieg";"";"";"Haus des Dokumentarfilms";"144"
"20. Jahrhundert";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"6"
"30er Jahre";"";"";"Haus des Dokumentarfilms";"1"
"35 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"42 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"80. Geburtstag";"";"";"Haus des Dokumentarfilms";"1"
"A1-Ring";"";"";"Haus des Dokumentarfilms";"1"
"ADAC";"";"";"Haus des Dokumentarfilms";"5"
"AN Arbeitnehmer Maschinenbau- und Umweltschutzanlagen GmbH";"";"";"Haus des Dokumentarfilms";"1"
"ASS Spielkartenfabrik";"";"";"Haus des Dokumentarfilms";"1"
"AVUS";"";"";"Haus des Dokumentarfilms";"1"
"AWO";"";"";"Haus des Dokumentarfilms";"1"
"Aach";"";"";"Haus des Dokumentarfilms";"1"
"Aachen";"";"";"Haus des Dokumentarfilms";"2"
"Aalborg";"";"";"Haus des Dokumentarfilms";"1"
"Aalen";"";"";"Haus des Dokumentarfilms";"3"
"Abakus";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Abbruch";"";"";"Haus des Dokumentarfilms";"5"
"Abessinien";"";"";"Haus des Dokumentarfilms";"1"
"Abfahrtslauf";"";"";"Haus des Dokumentarfilms";"1"
"Abfall";"";"";"Haus des Dokumentarfilms";"1"
"Abfalldeponie";"";"";"Haus des Dokumentarfilms";"1"
"Abgeordneter";"";"";"Haus des Dokumentarfilms";"1"
"Abitur";"4049194-8";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Abo (Finnland)";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Abriss";"";"";"Haus des Dokumentarfilms";"4"
"Abrissarbeiten";"";"";"Haus des Dokumentarfilms";"1"
"Abschied";"";"";"Haus des Dokumentarfilms";"2"
"Abschied von einem getöteten Schwein";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Abschlussball";"";"";"Haus des Dokumentarfilms";"1"
"Absoluter Film";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Absturz";"";"";"Haus des Dokumentarfilms";"1"
"Abu Dhabi";"";"";"Haus des Dokumentarfilms";"1"
"Abwasser";"";"";"Haus des Dokumentarfilms";"2"
"Accessoires";"";"";"Technische Informationsbibliothek (TIB)";"18"
"Accra";"";"";"Haus des Dokumentarfilms";"1"
"Achalm";"";"";"Haus des Dokumentarfilms";"2"
"Achensee";"";"";"Haus des Dokumentarfilms";"1"
"Achterbahn";"";"";"Haus des Dokumentarfilms";"1"
"Achtziger Jahre";"";"";"Haus des Dokumentarfilms";"1"
"Acker";"";"";"Haus des Dokumentarfilms";"1"
"Ackerbau";"";"";"Haus des Dokumentarfilms, Technische Informationsbibliothek (TIB)";"4"
"Ackerbau / Ackerbaugeräte";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Ackerbau / Maniok";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Ackerbau / Venezuela";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Adel";"4000464-8";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Adelboden";"";"";"Haus des Dokumentarfilms";"1"
"Adenau";"";"";"Haus des Dokumentarfilms";"7"
"Adenauer, Konrad";"";"";"Haus des Dokumentarfilms";"2"
"Admiral";"4141435-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Adolf";"";"";"Haus des Dokumentarfilms";"1"
"Adoption";"4000522-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Adria";"";"";"Haus des Dokumentarfilms";"7"
"Advent";"";"";"Haus des Dokumentarfilms";"1"
"Aetna";"";"";"Haus des Dokumentarfilms";"1"
"Affe";"4000666-9";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Affäre";"4167616-6";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"16"
"Afghanistan";"";"";"Haus des Dokumentarfilms";"8"
"Africa";"";"";"Technische Informationsbibliothek (TIB)";"23"
"African American";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Afrika";"";"";"Haus des Dokumentarfilms";"88"
"Afrikaner";"4133380-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Agava";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Agave";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Agavefasern";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Agentur für Arbeit";"";"";"Haus des Dokumentarfilms";"1"
"Agitation";"4445390-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Agra";"";"";"Haus des Dokumentarfilms";"1"
"Agrar- und Forstwissenschaft";"";"";"Technische Informationsbibliothek (TIB)";"15"
"Agrarwirtschaft";"";"";"Haus des Dokumentarfilms";"1"
"Agrikultur/Landwirtschaft";"";"";"Technische Informationsbibliothek (TIB)";"8"
"Ahnenkult";"";"";"Technische Informationsbibliothek (TIB)";"7"
"Ahrweiler";"";"";"Haus des Dokumentarfilms";"7"
"Aibom";"";"";"Technische Informationsbibliothek (TIB)";"6"
"Aisne";"";"";"Haus des Dokumentarfilms";"1"
"Ajaccio";"";"";"Haus des Dokumentarfilms";"1"
"Akademischer Turnbund";"";"";"Haus des Dokumentarfilms";"1"
"Akihito, Kaiser von Japan";"";"";"Haus des Dokumentarfilms";"1"
"Akka";"";"";"Haus des Dokumentarfilms";"1"
"Akkordeon";"";"";"Haus des Dokumentarfilms";"3"
"Akrobatik";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Akrobatin";"4594243-2";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Akropolis";"";"";"Haus des Dokumentarfilms";"5"
"Aktivismus";"4000973-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Aktualität";"";"";"Haus des Dokumentarfilms";"14"
"Alassio";"";"";"Haus des Dokumentarfilms";"1"
"Alb-Donau-Kreis";"";"";"Haus des Dokumentarfilms";"3"
"Albanien";"4001028-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Albanien";"7006417";"avefi:TGNResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Albert-Ludwigs-Universität Freiburg";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Albstadt";"";"";"Haus des Dokumentarfilms";"5"
"Albstadt-Ebingen";"";"";"Haus des Dokumentarfilms";"1"
"Albstadt-Tailfingen";"";"";"Haus des Dokumentarfilms";"1"
"Albtal";"";"";"Haus des Dokumentarfilms";"1"
"Albtraum";"4142018-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Albverein";"";"";"Haus des Dokumentarfilms";"1"
"Aleksandr I., Russland, Zar";"118501852";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Aletschwald";"";"";"Haus des Dokumentarfilms";"1"
"Alfred Sohn-Rethel";"";"";"Haus des Dokumentarfilms";"1"
"Algerien";"4001179-3";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Algerien";"7016752";"avefi:TGNResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Algier";"";"";"Haus des Dokumentarfilms";"1"
"Alicante";"";"";"Haus des Dokumentarfilms";"1"
"Alkmaar";"";"";"Haus des Dokumentarfilms";"2"
"Alkohol";"";"";"Haus des Dokumentarfilms";"8"
"Alkoholikerin";"4124538-6";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Alkoholismus";"4001220-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Alkoholismus und Drogen";"";"";"Technische Informationsbibliothek (TIB)";"6"
"Allemanische Fastnacht";"";"";"Haus des Dokumentarfilms";"1"
"Allensbach";"";"";"Haus des Dokumentarfilms";"2"
"Allerheiligen";"";"";"Haus des Dokumentarfilms";"2"
"Allgäu";"";"";"Haus des Dokumentarfilms";"21"
"Alliierte";"4001297-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Alltag";"";"";"Haus des Dokumentarfilms";"209"
"Alltagsleben";"";"";"Haus des Dokumentarfilms";"155"
"Almabtrieb";"";"";"Haus des Dokumentarfilms";"1"
"Almauftrieb";"";"";"Haus des Dokumentarfilms";"1"
"Alpen";"";"";"Haus des Dokumentarfilms";"19"
"Alpirsbach";"";"";"Haus des Dokumentarfilms";"2"
"Alpsee";"";"";"Haus des Dokumentarfilms";"2"
"Alster";"";"";"Haus des Dokumentarfilms";"1"
"Altar";"";"";"Technische Informationsbibliothek (TIB)";"5"
"Altbach";"";"";"Haus des Dokumentarfilms";"2"
"Altbaumodernisierung";"";"";"Haus des Dokumentarfilms";"1"
"Altdorf";"";"";"Haus des Dokumentarfilms";"1"
"Altenberg";"";"";"Haus des Dokumentarfilms";"1"
"Altenburg";"";"";"Haus des Dokumentarfilms";"1"
"Altenburger Spielkartenfabrik";"";"";"Haus des Dokumentarfilms";"1"
"Altendorf, Wolfgang";"";"";"Haus des Dokumentarfilms";"1"
"Altenheim";"4068590-1";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Altenpflegerin";"4833477-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Altensteig";"";"";"Haus des Dokumentarfilms";"8"
"Alter";"";"";"Haus des Dokumentarfilms";"6"
"Alternative Lebensform";"";"";"Haus des Dokumentarfilms";"1"
"Altersheim";"";"";"Haus des Dokumentarfilms";"2"
"Altersunterschied in der Liebe";"4001478-2";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Altertum";"";"";"Haus des Dokumentarfilms";"3"
"Altona";"";"";"Haus des Dokumentarfilms";"1"
"Altpapier";"";"";"Haus des Dokumentarfilms";"1"
"Altshausen";"";"";"Haus des Dokumentarfilms";"2"
"Altstadt";"";"";"Haus des Dokumentarfilms";"1"
"Amateurfilm";"";"";"Haus des Dokumentarfilms";"1291"
"Amateurfilmer";"";"";"Haus des Dokumentarfilms";"1"
"Amazonas";"";"";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Amboise";"";"";"Haus des Dokumentarfilms";"2"
"Ameise";"";"";"Haus des Dokumentarfilms";"1"
"Ameisen";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Ameisensammeln";"";"";"Technische Informationsbibliothek (TIB)";"1"
"America";"";"";"Technische Informationsbibliothek (TIB)";"22"
"Americas Day";"";"";"Haus des Dokumentarfilms";"1"
"Amerika";"";"";"Haus des Dokumentarfilms, Technische Informationsbibliothek (TIB)";"26"
"Amerikanische Besatzungszone";"";"";"Haus des Dokumentarfilms";"1"
"Amiens";"";"";"Haus des Dokumentarfilms";"3"
"Amman";"";"";"Haus des Dokumentarfilms";"1"
"Amoklauf";"4236142-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Amorbach";"";"";"Haus des Dokumentarfilms";"1"
"Amrum";"";"";"Haus des Dokumentarfilms";"1"
"Amsterdam";"";"";"Haus des Dokumentarfilms";"8"
"Ananas";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Anastigmaten";"";"";"Haus des Dokumentarfilms";"1"
"Anbau";"";"";"Haus des Dokumentarfilms";"1"
"Anbaumethoden";"";"";"Technische Informationsbibliothek (TIB)";"4"
"Ancy-sur-Moselle";"";"";"Haus des Dokumentarfilms";"1"
"Android";"7576811-2";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Andrè Heller";"";"";"Haus des Dokumentarfilms";"1"
"Angeln";"";"";"Haus des Dokumentarfilms";"3"
"Angkor";"";"";"Haus des Dokumentarfilms";"1"
"Angkor Wat";"";"";"Haus des Dokumentarfilms";"2"
"Angola";"";"";"Haus des Dokumentarfilms";"1"
"Angriff";"";"";"Haus des Dokumentarfilms";"1"
"Angst";"";"";"Haus des Dokumentarfilms";"10"
"Anhalterin";"4561151-8";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Animationsfilm";"";"";"Haus des Dokumentarfilms";"7"
"Anir";"";"";"Haus des Dokumentarfilms";"1"
"Ankara";"";"";"Haus des Dokumentarfilms";"2"
"Annweiler";"";"";"Haus des Dokumentarfilms";"1"
"Annweiler am Trifels";"";"";"Haus des Dokumentarfilms";"1"
"Anrufung der Ahnen";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Ansbach";"";"";"Haus des Dokumentarfilms";"2"
"Ansicht";"";"";"Haus des Dokumentarfilms";"1"
"Antiautoritäre Erziehung";"";"";"Haus des Dokumentarfilms";"1"
"Antifaschismus";"4122803-0";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Antigue";"";"";"Haus des Dokumentarfilms";"1"
"Antike";"4068754-5";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Antiquität";"";"";"Haus des Dokumentarfilms";"1"
"Antisemitismus";"4002333-3";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"15"
"Antrieb";"";"";"Haus des Dokumentarfilms";"1"
"Antwerpen";"";"";"Haus des Dokumentarfilms";"3"
"Anzig";"";"";"Haus des Dokumentarfilms";"1"
"Apachen";"4068770-3";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Apfel";"";"";"Haus des Dokumentarfilms";"1"
"Appenzell";"";"";"Haus des Dokumentarfilms";"4"
"Aquarena";"";"";"Haus des Dokumentarfilms";"1"
"Arbeit";"";"";"Haus des Dokumentarfilms";"126"
"Arbeiter";"";"";"Haus des Dokumentarfilms";"38"
"Arbeiterbewegung";"4002581-0";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Arbeiterin";"4002587-1";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"9"
"Arbeiterwohlfahrt";"";"";"Haus des Dokumentarfilms";"1"
"Arbeitgeber";"";"";"Haus des Dokumentarfilms";"1"
"Arbeitnehmer";"";"";"Haus des Dokumentarfilms";"6"
"Arbeitsablauf";"";"";"Haus des Dokumentarfilms";"8"
"Arbeitsalltag";"";"";"Haus des Dokumentarfilms";"9"
"Arbeitsamt";"";"";"Haus des Dokumentarfilms";"2"
"Arbeitsbedingung";"";"";"Haus des Dokumentarfilms";"3"
"Arbeitsbeziehungen";"";"";"Technische Informationsbibliothek (TIB)";"8"
"Arbeitskampf";"";"";"Haus des Dokumentarfilms";"3"
"Arbeitslager";"";"";"Haus des Dokumentarfilms";"1"
"Arbeitslosigkeit";"4002730-2";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"13"
"Arbeitsmaid";"";"";"Haus des Dokumentarfilms";"1"
"Arbeitsorganisation";"";"";"Technische Informationsbibliothek (TIB)";"25"
"Arbeitsplatz";"";"";"Haus des Dokumentarfilms";"17"
"Arbeitsteilung";"";"";"Technische Informationsbibliothek (TIB)";"6"
"Arbeitsunfall";"4002794-6";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Arbeitswelt";"";"";"Haus des Dokumentarfilms";"15"
"Arbeitszimmer";"4131281-8";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Arc de Triomphe";"";"";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Architekt";"4002844-6";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"6"
"Architektur";"4002851-3";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"15"
"Archäologie";"";"";"Haus des Dokumentarfilms";"16"
"Areca catechu";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Arekanuß";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Arekapalme";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Arena";"";"";"Haus des Dokumentarfilms";"1"
"Argentinien";"";"";"Haus des Dokumentarfilms";"11"
"Argonautensage";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Arhuaco";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Arhuacos";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Arita";"";"";"Haus des Dokumentarfilms";"1"
"Arizona";"";"";"Haus des Dokumentarfilms";"1"
"Arlinger";"";"";"Haus des Dokumentarfilms";"1"
"Arlington";"";"";"Haus des Dokumentarfilms";"1"
"Armbrust";"";"";"Haus des Dokumentarfilms";"1"
"Armee";"4143024-4";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Armstrong, Neil";"";"";"Haus des Dokumentarfilms";"1"
"Armut";"";"";"Haus des Dokumentarfilms";"15"
"Arno";"";"";"Haus des Dokumentarfilms";"1"
"Art deco";"";"";"Haus des Dokumentarfilms";"1"
"Artenschutz";"";"";"Haus des Dokumentarfilms";"1"
"Artist";"4003096-9";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Arzneipflanze";"";"";"Haus des Dokumentarfilms";"1"
"Arzt";"";"";"Haus des Dokumentarfilms";"24"
"Arztpraxis";"";"";"Haus des Dokumentarfilms";"1"
"Asch";"";"";"Haus des Dokumentarfilms";"7"
"Aschersleben";"";"";"Haus des Dokumentarfilms";"1"
"Ascona";"";"";"Haus des Dokumentarfilms";"4"
"Asia";"";"";"Technische Informationsbibliothek (TIB)";"20"
"Asien";"";"";"Haus des Dokumentarfilms";"64"
"Asowsches Meer";"";"";"Haus des Dokumentarfilms";"1"
"Aspekt Veranstaltung";"";"";"Haus des Dokumentarfilms";"3"
"Assmannshausen";"";"";"Haus des Dokumentarfilms";"1"
"Assumption Day (15.8.)";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Astronom";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Astronomie";"";"";"Haus des Dokumentarfilms, Technische Informationsbibliothek (TIB)";"3"
"Asylant";"";"";"Haus des Dokumentarfilms";"2"
"Asylbewerber";"4127746-6";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Atelier";"";"";"Haus des Dokumentarfilms";"2"
"Athen";"";"";"Haus des Dokumentarfilms";"10"
"Atlantik";"";"";"Haus des Dokumentarfilms";"3"
"Atmung";"";"";"Haus des Dokumentarfilms";"1"
"Atom";"";"";"Haus des Dokumentarfilms";"1"
"Atom - Nein, danke";"";"";"Haus des Dokumentarfilms";"1"
"Atomenergie";"4030318-4";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"8"
"Atomkraft";"";"";"Haus des Dokumentarfilms";"3"
"Atomkraftwerk";"";"";"Haus des Dokumentarfilms";"8"
"Atomreaktor";"";"";"Haus des Dokumentarfilms";"1"
"Atomsicherheit";"";"";"Haus des Dokumentarfilms";"1"
"Attendorn";"";"";"Haus des Dokumentarfilms";"1"
"Attentat";"4003451-3";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"Atzenbach";"";"";"Haus des Dokumentarfilms";"2"
"Auerhahn";"";"";"Haus des Dokumentarfilms";"1"
"Auerhuhn";"";"";"Haus des Dokumentarfilms";"3"
"Auerwild";"";"";"Haus des Dokumentarfilms";"1"
"Aufforstung";"";"";"Haus des Dokumentarfilms";"3"
"Aufforstungsprojekt";"";"";"Haus des Dokumentarfilms";"3"
"Aufführung";"";"";"Haus des Dokumentarfilms";"1"
"Aufgabe";"";"";"Haus des Dokumentarfilms";"1"
"Aufnahmeprüfungsfilm";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Aufstand";"4003554-2";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Aufstand vom 17. Juni 1953";"4181209-8";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Auftragsmord";"4671738-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Auftritt von Ahnfrauen";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Auftritt von Waldgeistern";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Auge";"";"";"Haus des Dokumentarfilms";"1"
"Augsburg";"";"";"Haus des Dokumentarfilms";"8"
"Auktion";"4125859-9";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Ausbeutung";"4003677-7";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Ausbildung";"";"";"Haus des Dokumentarfilms";"16"
"Ausbildung im Betrieb";"";"";"Haus des Dokumentarfilms";"1"
"Ausfahrt";"";"";"Haus des Dokumentarfilms";"1"
"Ausflug";"";"";"Haus des Dokumentarfilms";"195"
"Ausflug.";"";"";"Haus des Dokumentarfilms";"1"
"Ausflugsschiff";"";"";"Haus des Dokumentarfilms";"1"
"Ausgrabung";"";"";"Haus des Dokumentarfilms";"12"
"Ausgrabungsstätte";"";"";"Haus des Dokumentarfilms";"5"
"Auslandsdeutscher";"";"";"Haus des Dokumentarfilms";"1"
"Ausländer";"4003725-3";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"8"
"Ausländischer Arbeiter";"";"";"Haus des Dokumentarfilms";"1"
"Ausländischer Film";"";"";"Haus des Dokumentarfilms";"1"
"Aussaat";"";"";"Haus des Dokumentarfilms";"1"
"Aussaugen von Krankheitsstoff";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Aussiedler";"";"";"Haus des Dokumentarfilms";"1"
"Ausstellung";"";"";"Haus des Dokumentarfilms";"63"
"Aussterben";"4003882-8";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Australia/Oceania";"";"";"Technische Informationsbibliothek (TIB)";"41"
"Australien";"";"";"Haus des Dokumentarfilms";"14"
"Australien/Ozeanien";"";"";"Technische Informationsbibliothek (TIB)";"41"
"Auswanderung";"4003920-1";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Auszeichnung (Ehrung)";"4338046-3";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Auszubildender";"";"";"Haus des Dokumentarfilms";"1"
"Auto";"";"";"Haus des Dokumentarfilms";"102"
"Auto-Staiger";"";"";"Haus des Dokumentarfilms";"1"
"Autobahn";"";"";"Haus des Dokumentarfilms";"17"
"Autofahrt";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Autofähre";"";"";"Haus des Dokumentarfilms";"2"
"Autohandel";"";"";"Haus des Dokumentarfilms";"1"
"Autoindustrie";"4032690-1";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"10"
"Autokorso";"";"";"Haus des Dokumentarfilms";"1"
"Automechaniker";"4288271-0";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Automobil";"";"";"Haus des Dokumentarfilms";"14"
"Automobilbranche";"";"";"Haus des Dokumentarfilms";"1"
"Automobilindustrie";"";"";"Haus des Dokumentarfilms";"1"
"Automobilsport";"";"";"Haus des Dokumentarfilms";"65"
"Autopanne";"";"";"Haus des Dokumentarfilms";"1"
"Autoreise";"4428131-6";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Autorennen";"";"";"Haus des Dokumentarfilms";"65"
"Autounfall";"4062983-1";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Autozug";"";"";"Haus des Dokumentarfilms";"1"
"Außenseiter";"4134557-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Avallon";"";"";"Haus des Dokumentarfilms";"1"
"Avignon";"";"";"Haus des Dokumentarfilms";"1"
"Ayuthaya";"";"";"Haus des Dokumentarfilms";"1"
"B 462";"";"";"Haus des Dokumentarfilms";"4"
"BDM";"";"";"Haus des Dokumentarfilms";"4"
"BRD";"";"";"Haus des Dokumentarfilms";"4"
"Baalbek";"";"";"Haus des Dokumentarfilms";"4"
"Baby";"";"";"Haus des Dokumentarfilms";"17"
"Babypflege";"";"";"Haus des Dokumentarfilms";"2"
"Bach";"4140549-3";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Bachhagel";"";"";"Haus des Dokumentarfilms";"1"
"Backen";"";"";"Haus des Dokumentarfilms";"8"
"Backen / Backplatte";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Backen / Backschale";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Backhaus";"";"";"Haus des Dokumentarfilms";"3"
"Backnang";"";"";"Haus des Dokumentarfilms";"1"
"Backrezept";"";"";"Haus des Dokumentarfilms";"1"
"Backware";"";"";"Haus des Dokumentarfilms";"1"
